"","scores","dates"
"1",40,2013-12-21
"2",43,2013-12-22
"3",-21,2013-12-23
"4",66,2013-12-24
"5",47,2013-12-25
"6",24,2013-12-30
"7",68,2013-12-31
"8",54,2014-01-02
"9",32,2014-01-05
"10",62,2014-01-08
"11",37,2014-01-10
"12",40,2014-01-19
"13",19,2014-01-20
"14",51,2014-01-22
"15",23,2014-01-23
"16",17,2014-01-24
"17",63,2014-01-26
"18",48,2014-01-27
"19",14,2014-01-30
"20",77,2014-02-05
"21",4,2014-02-07
"22",21,2014-02-12
"23",49,2014-02-27
"24",44,2014-03-03
"25",97,2014-11-17
"26",57,2014-11-18
"27",40,2014-12-31
"28",69,2015-01-04
"29",12,2015-01-05
"30",64,2015-01-07
"31",112,2015-01-09
"32",6,2015-02-17
"33",48,2015-02-18
"34",56,2015-03-05
"35",85,2015-03-06
"36",40,2015-03-07
"37",104,2015-08-08
"38",40,2015-08-09
"39",9,2015-08-10
"40",64,2015-08-11
"41",30,2015-08-12
"42",64,2015-11-22
"43",107,2016-01-10
"44",64,2016-01-22
"45",82,2016-01-23
"46",63,2016-08-12
"47",81,2016-12-29
"48",57,2017-01-04
"49",74,2017-06-23
"50",32,2017-07-29
"51",93,2017-07-30
